season,T1,T2,result
N,503,506,-1
N,503,509,-1
N,503,511,-1
N,503,512,-1
N,503,524,-1
N,503,527,-1
N,503,535,-1
N,503,536,-1
N,503,539,-1
N,503,547,-1
N,503,551,-1
N,503,552,-1
N,503,559,-1
N,503,561,-1
N,503,565,-1
N,503,569,-1
N,503,577,-1
N,503,586,-1
N,503,595,-1
N,503,607,0
N,503,623,-1
N,503,636,-1
N,503,651,-1
N,503,655,-1
N,503,660,-1
N,503,662,-1
N,503,666,-1
N,503,670,-1
N,503,671,-1
N,503,673,-1
N,503,675,-1
N,503,676,-1
N,503,682,-1
N,503,683,-1
N,503,689,-1
N,503,708,-1
N,503,714,-1
N,503,720,-1
N,503,721,-1
N,503,722,-1
N,503,731,-1
N,503,733,-1
N,503,738,-1
N,503,740,-1
N,503,745,-1
N,503,765,-1
N,503,766,-1
N,503,786,-1
N,503,789,-1
N,503,790,-1
N,503,793,-1
N,503,794,-1
N,503,810,-1
N,503,818,-1
N,503,821,-1
N,503,822,-1
N,503,825,-1
N,503,829,-1
N,503,835,-1
N,503,839,-1
N,503,840,-1
N,503,843,-1
N,503,849,-1
N,503,853,-1
N,506,509,-1
N,506,511,-1
N,506,512,-1
N,506,524,-1
N,506,527,-1
N,506,535,-1
N,506,536,-1
N,506,539,-1
N,506,547,-1
N,506,551,-1
N,506,552,-1
N,506,559,-1
N,506,561,-1
N,506,565,-1
N,506,569,-1
N,506,577,-1
N,506,586,-1
N,506,595,-1
N,506,607,-1
N,506,623,-1
N,506,636,-1
N,506,651,-1
N,506,655,-1
N,506,660,-1
N,506,662,-1
N,506,666,-1
N,506,670,-1
N,506,671,-1
N,506,673,-1
N,506,675,-1
N,506,676,-1
N,506,682,-1
N,506,683,-1
N,506,689,-1
N,506,708,-1
N,506,714,-1
N,506,720,-1
N,506,721,-1
N,506,722,-1
N,506,731,-1
N,506,733,-1
N,506,738,-1
N,506,740,-1
N,506,745,-1
N,506,765,-1
N,506,766,-1
N,506,786,-1
N,506,789,-1
N,506,790,-1
N,506,793,-1
N,506,794,-1
N,506,810,-1
N,506,818,-1
N,506,821,-1
N,506,822,-1
N,506,825,-1
N,506,829,-1
N,506,835,-1
N,506,839,-1
N,506,840,-1
N,506,843,-1
N,506,849,-1
N,506,853,-1
N,509,511,-1
N,509,512,-1
N,509,524,-1
N,509,527,-1
N,509,535,-1
N,509,536,-1
N,509,539,-1
N,509,547,-1
N,509,551,-1
N,509,552,-1
N,509,559,-1
N,509,561,-1
N,509,565,-1
N,509,569,-1
N,509,577,-1
N,509,586,-1
N,509,595,-1
N,509,607,-1
N,509,623,-1
N,509,636,-1
N,509,651,-1
N,509,655,-1
N,509,660,-1
N,509,662,-1
N,509,666,-1
N,509,670,-1
N,509,671,-1
N,509,673,-1
N,509,675,-1
N,509,676,-1
N,509,682,-1
N,509,683,-1
N,509,689,-1
N,509,708,-1
N,509,714,-1
N,509,720,-1
N,509,721,-1
N,509,722,-1
N,509,731,-1
N,509,733,-1
N,509,738,-1
N,509,740,-1
N,509,745,-1
N,509,765,-1
N,509,766,-1
N,509,786,-1
N,509,789,-1
N,509,790,-1
N,509,793,-1
N,509,794,-1
N,509,810,-1
N,509,818,-1
N,509,821,-1
N,509,822,-1
N,509,825,-1
N,509,829,0
N,509,835,-1
N,509,839,-1
N,509,840,-1
N,509,843,-1
N,509,849,-1
N,509,853,-1
N,511,512,-1
N,511,524,-1
N,511,527,-1
N,511,535,-1
N,511,536,-1
N,511,539,-1
N,511,547,-1
N,511,551,-1
N,511,552,1
N,511,559,-1
N,511,561,-1
N,511,565,-1
N,511,569,-1
N,511,577,-1
N,511,586,-1
N,511,595,-1
N,511,607,-1
N,511,623,-1
N,511,636,-1
N,511,651,0
N,511,655,-1
N,511,660,-1
N,511,662,-1
N,511,666,-1
N,511,670,-1
N,511,671,-1
N,511,673,-1
N,511,675,-1
N,511,676,-1
N,511,682,-1
N,511,683,-1
N,511,689,-1
N,511,708,-1
N,511,714,-1
N,511,720,-1
N,511,721,-1
N,511,722,-1
N,511,731,-1
N,511,733,-1
N,511,738,-1
N,511,740,-1
N,511,745,-1
N,511,765,-1
N,511,766,-1
N,511,786,-1
N,511,789,-1
N,511,790,-1
N,511,793,-1
N,511,794,-1
N,511,810,-1
N,511,818,-1
N,511,821,1
N,511,822,-1
N,511,825,-1
N,511,829,-1
N,511,835,-1
N,511,839,-1
N,511,840,-1
N,511,843,-1
N,511,849,-1
N,511,853,-1
N,512,524,-1
N,512,527,-1
N,512,535,-1
N,512,536,-1
N,512,539,-1
N,512,547,-1
N,512,551,-1
N,512,552,-1
N,512,559,-1
N,512,561,-1
N,512,565,-1
N,512,569,-1
N,512,577,-1
N,512,586,-1
N,512,595,-1
N,512,607,-1
N,512,623,-1
N,512,636,-1
N,512,651,-1
N,512,655,-1
N,512,660,-1
N,512,662,-1
N,512,666,-1
N,512,670,-1
N,512,671,-1
N,512,673,-1
N,512,675,-1
N,512,676,-1
N,512,682,-1
N,512,683,-1
N,512,689,-1
N,512,708,-1
N,512,714,-1
N,512,720,-1
N,512,721,-1
N,512,722,-1
N,512,731,-1
N,512,733,-1
N,512,738,-1
N,512,740,-1
N,512,745,-1
N,512,765,-1
N,512,766,-1
N,512,786,0
N,512,789,1
N,512,790,-1
N,512,793,-1
N,512,794,-1
N,512,810,-1
