"1","Air Force","26","10","16",".385","-4.00","2.53","2","12","","","","","1981","2085","","629","1703",".369","233","738",".316","490","700",".700","","1175","281","209","79","",""
"2","Akron","27","18","9",".667","5.15","1.11","12","6","","","","","2031","1905","","676","1497",".452","160","439",".364","519","692",".750","","980","386","217","69","",""
"3","Alabama-Birmingham","32","20","12",".625","8.87","5.40","10","6","","","","","2368","2257","","855","1889",".453","155","480",".323","503","740",".680","","1336","465","293","88","",""
"4","Alabama State","27","11","16",".407","-15.31","-9.83","8","8","","","","","1815","1891","","619","1496",".414","124","397",".312","453","703",".644","","1158","296","243","62","",""
"5","Alabama","32","17","15",".531","5.73","6.66","6","10","","","","","2144","2174","","782","1810",".432","134","400",".335","446","626",".712","","1321","383","233","115","",""
"6","Alcorn State","30","23","7",".767","-2.88","-10.48","14","2","","","","","2274","2007","","796","1902",".419","186","576",".323","496","772",".642","","1473","404","329","118","",""
"7","American","28","7","21",".250","-8.95","-1.60","2","14","","","","","1805","1951","","663","1694",".391","119","400",".298","360","566",".636","","1132","322","235","100","",""
"8","Appalachian State","29","21","8",".724","-0.48","-5.32","13","3","","","","","2168","1916","","776","1661",".467","137","371",".369","479","714",".671","","1178","465","307","102","",""
"9","Arizona State","30","14","16",".467","9.04","8.25","6","12","","","","","2236","2167","","804","1820",".442","177","532",".333","451","648",".696","","1195","512","249","77","",""
"10","Arizona","29","22","7",".759","15.28","8.31","13","5","","","","","2383","2181","","820","1754",".468","143","409",".350","600","845",".710","","1342","419","213","93","",""
"11","Arkansas-Little Rock","27","12","15",".444","-7.74","-2.94","5","9","","","","","1790","1904","","648","1391",".466","174","458",".380","320","463",".691","","899","343","128","62","",""
"12","Arkansas-Pine Bluff","27","3","24",".111","-27.20","-8.07","1","15","","","","","1793","2211","","685","1760",".389","119","448",".266","304","514",".591","","1139","331","245","94","",""
"13","Arkansas State","30","18","12",".600","3.31","-0.72","9","5","","","","","2206","2061","","798","1748",".457","159","488",".326","451","655",".689","","1125","447","265","103","",""
"14","Arkansas","34","23","11",".676","12.83","6.01","9","7","","","","","2675","2443","","980","2206",".444","296","808",".366","419","632",".663","","1391","563","332","147","",""
"15","Army","27","8","19",".296","-22.35","-6.51","4","8","","","","","1615","1968","","570","1460",".390","133","413",".322","342","477",".717","","906","304","207","70","",""
"16","Auburn","33","29","4",".879","24.54","4.93","14","2","","","","","2680","2033","","974","2245",".434","234","672",".348","498","766",".650","","1601","461","327","112","",""
"17","Austin Peay","27","11","16",".407","-7.86","-4.94","9","9","","","","","1959","2037","","711","1547",".460","168","491",".342","369","557",".662","","1041","370","186","93","",""
"18","Ball State","27","16","11",".593","1.57","1.38","10","8","","","","","1798","1760","","634","1548",".410","147","434",".339","381","583",".654","","1061","321","209","79","",""
"19","Baylor","30","6","24",".200","-5.64","3.46","0","16","","","","","1846","2107","","644","1703",".378","163","565",".288","395","602",".656","","1192","308","217","104","",""
"20","Bethune-Cookman","27","11","16",".407","-12.37","-9.08","10","9","","","","","1791","1879","","634","1440",".440","107","366",".292","416","600",".693","","992","365","214","71","",""
"21","Boise State","29","21","8",".724","2.86","-3.25","12","4","","","","","1987","1790","","682","1478",".461","172","468",".368","451","635",".710","","964","387","277","91","",""
"22","Boston College","27","6","21",".222","-1.22","7.78","3","15","","","","","1689","1932","","622","1521",".409","155","462",".335","290","438",".662","","922","314","260","70","",""
"23","Boston University","27","9","18",".333","-9.35","-6.09","5","13","","","","","1736","1824","","608","1476",".412","161","482",".334","359","568",".632","","1057","383","185","52","",""
"24","Bowling Green State","28","18","10",".643","6.89","2.43","12","6","","","","","1980","1824","","691","1506",".459","132","406",".325","466","642",".726","","1006","380","252","84","",""
"25","Bradley","29","17","12",".586","6.82","5.13","11","7","","","","","1824","1775","","616","1437",".429","173","468",".370","419","606",".691","","1030","337","249","113","",""
"26","Brigham Young","28","12","16",".429","2.65","4.29","6","8","","","","","2009","2055","","671","1487",".451","176","474",".371","491","677",".725","","1097","359","188","87","",""
"27","Brown","26","4","22",".154","-18.99","-7.26","2","12","","","","","1578","1883","","550","1350",".407","143","446",".321","335","447",".749","","823","292","149","46","",""
"28","Bucknell","29","16","13",".552","-5.30","-7.82","9","3","","","","","1939","1779","","673","1529",".440","164","511",".321","429","642",".668","","1133","409","239","117","",""
"29","Buffalo","29","5","24",".172","-15.04","0.54","1","17","","","","","1709","2141","","605","1637",".370","148","531",".279","351","522",".672","","1124","373","191","105","",""
"30","Butler","32","22","10",".688","5.04","1.40","11","3","","","","","2032","1921","","690","1569",".440","123","380",".324","529","767",".690","","1151","440","231","57","",""
"31","Cal Poly","27","11","16",".407","-7.06","-3.90","6","10","","","","","2293","2298","","785","1801",".436","255","724",".352","468","639",".732","","1087","411","222","58","",""
"32","Cal State Fullerton","27","13","14",".481","-7.99","-2.72","7","9","","","","","1891","1998","","649","1500",".433","158","461",".343","435","647",".672","","1060","365","180","79","",""
"33","Cal State Northridge","29","17","12",".586","0.79","-1.58","9","7","","","","","2378","2235","","856","1828",".468","202","570",".354","464","702",".661","","1162","515","310","78","",""
"34","California-Irvine","26","6","20",".231","-8.42","-1.63","2","14","","","","","1692","1821","","590","1358",".434","177","482",".367","335","480",".698","","866","346","173","65","",""
"35","California-Santa Barbara","28","15","13",".536","-2.74","-3.16","12","4","","","","","1971","1942","","744","1669",".446","124","388",".320","359","559",".642","","1159","457","236","56","",""
"36","California","33","22","11",".667","11.94","7.85","8","10","","","","","2406","2267","","868","2010",".432","117","377",".310","553","824",".671","","1355","418","278","123","",""
"37","Campbell","27","9","18",".333","-16.27","-7.63","6","10","","","","","1721","1934","","625","1458",".429","193","530",".364","278","419",".663","","953","378","155","78","",""
"38","Canisius","27","15","12",".556","-7.03","-4.77","11","7","","","","","1918","1979","","664","1481",".448","153","385",".397","437","623",".701","","1029","420","164","89","",""
"39","Centenary (LA)","28","14","14",".500","-10.73","-7.13","9","7","","","","","1765","1853","","607","1402",".433","130","395",".329","421","612",".688","","1028","294","144","67","",""
"40","Central Connecticut State","32","19","13",".594","-7.37","-10.40","11","9","","","","","2263","2182","","824","1834",".449","114","381",".299","501","745",".672","","1282","435","280","126","",""
"41","Central Florida","29","19","10",".655","-2.21","-5.29","13","3","","","","","2107","2009","","762","1640",".465","184","510",".361","399","564",".707","","1162","419","204","100","",""
"42","Central Michigan","26","10","16",".385","-3.10","0.62","7","11","","","","","1824","1879","","616","1419",".434","136","401",".339","456","647",".705","","980","345","191","83","",""
"43","Charleston Southern","28","12","16",".429","-14.36","-7.88","4","6","","","","","2022","2149","","705","1530",".461","115","347",".331","497","715",".695","","941","354","270","97","",""
"44","Charlotte","34","23","11",".676","10.54","7.13","10","6","","","","","2336","2220","","793","1901",".417","251","672",".374","499","742",".673","","1347","432","242","95","",""
"45","Chattanooga","28","16","12",".571","-4.25","-5.75","9","7","","","","","1898","1820","","670","1543",".434","167","464",".360","391","570",".686","","1080","371","188","103","",""
"46","Chicago State","27","3","24",".111","-21.53","-0.41","3","11","","","","","1475","2026","","552","1594",".346","155","533",".291","216","353",".612","","961","299","208","77","",""
"47","Cincinnati","33","27","6",".818","19.95","7.70","12","4","","","","","2440","2020","","890","1920",".464","166","508",".327","494","727",".680","","1420","465","256","152","",""
"48","Citadel","27","9","18",".333","-18.06","-7.19","3","13","","","","","1693","1821","","602","1413",".426","176","510",".345","313","502",".624","","970","338","200","74","",""
"49","Clemson","35","20","15",".571","13.44","6.59","5","11","","","","","2508","2263","","877","1910",".459","233","665",".350","521","840",".620","","1505","527","227","111","",""
"50","Cleveland State","28","14","14",".500","-1.73","0.27","6","8","","","","","1978","1996","","696","1554",".448","137","411",".333","449","697",".644","","1039","359","220","79","",""
"51","Coastal Carolina","27","7","20",".259","-20.40","-8.35","4","6","","","","","1935","2169","","698","1620",".431","179","526",".340","360","522",".690","","960","346","230","53","",""
"52","Colgate","28","14","14",".500","-8.07","-7.22","7","5","","","","","1826","1799","","651","1482",".439","114","323",".353","410","643",".638","","1078","339","237","60","",""
"53","College of Charleston","31","28","3",".903","6.02","-6.59","16","0","","","","","2258","1834","","830","1702",".488","140","381",".367","458","649",".706","","1167","438","284","192","",""
"54","Colorado State","30","19","11",".633","8.64","3.02","7","7","","","","","2168","1991","","752","1663",".452","188","543",".346","476","714",".667","","1149","399","240","122","",""
"55","Colorado","33","18","15",".545","7.15","4.86","7","9","","","","","2411","2257","","839","2026",".414","218","633",".344","515","775",".665","","1370","482","281","126","",""
"56","Columbia","26","10","16",".385","-14.50","-6.62","5","9","","","","","1520","1692","","536","1279",".419","135","453",".298","313","499",".627","","821","309","235","45","",""
"57","Connecticut","36","34","2",".944","24.74","8.80","16","2","","","","","2781","2207","","986","2111",".467","174","506",".344","635","868",".732","","1588","551","287","151","",""
"58","Coppin State","29","15","14",".517","-6.87","-6.98","14","4","","","","","1992","1989","","639","1645",".388","217","590",".368","497","704",".706","","1179","334","231","80","",""
"59","Cornell","26","11","15",".423","-9.69","-7.57","6","8","","","","","1667","1710","","614","1428",".430","141","437",".323","298","474",".629","","1052","310","171","99","",""
"60","Creighton","31","22","9",".710","12.24","4.86","11","7","","","","","2357","2128","","800","1757",".455","236","618",".382","521","730",".714","","1222","451","286","91","",""
"61","Dartmouth","26","14","12",".538","-9.80","-6.96","10","4","","","","","1673","1727","","576","1384",".416","185","504",".367","336","478",".703","","996","336","150","90","",""
"62","Davidson","27","16","11",".593","-1.47","-5.64","11","5","","","","","2058","1844","","739","1594",".464","191","537",".356","389","586",".664","","1101","452","244","72","",""
"63","Dayton","28","11","17",".393","5.21","5.42","5","11","","","","","1900","1906","","637","1611",".395","174","534",".326","452","622",".727","","1018","355","203","81","",""
"64","Delaware State","27","8","19",".296","-20.10","-11.87","5","13","","","","","2007","2203","","669","1593",".420","202","547",".369","453","656",".691","","1053","316","212","94","",""
"65","Delaware","31","25","6",".806","1.64","-7.88","15","3","","","","","2394","2099","","830","1775",".468","207","556",".372","527","726",".726","","1215","451","234","139","",""
"66","Denver","27","10","17",".370","-10.06","-4.09","","","","","","","1988","2149","","709","1691",".419","194","568",".342","376","515",".730","","1095","407","129","102","",""
"67","DePaul","31","18","13",".581","9.07","7.88","10","6","","","","","2253","2216","","812","1898",".428","178","557",".320","451","670",".673","","1268","401","249","52","",""
"68","Detroit Mercy","31","25","6",".806","8.12","-0.14","12","2","","","","","1966","1713","","677","1550",".437","196","541",".362","416","553",".752","","1101","392","189","82","",""
"69","Drake","27","10","17",".370","-1.89","5.22","5","13","","","","","1758","1915","","588","1466",".401","197","608",".324","385","562",".685","","972","371","227","30","",""
"70","Drexel","29","20","9",".690","-1.59","-6.73","15","3","","","","","2036","1887","","730","1665",".438","178","508",".350","398","605",".658","","1190","422","159","61","",""
"71","Duke","39","37","2",".949","34.80","10.14","16","0","","","","","3581","2619","","1244","2422",".514","293","739",".396","800","1135",".705","","1842","633","349","245","",""
"72","Duquesne","28","5","23",".179","-7.59","4.04","1","15","","","","","1733","2018","","577","1582",".365","142","480",".296","437","681",".642","","1175","265","189","108","",""
"73","East Carolina","27","13","14",".481","-3.53","-2.65","7","9","","","","","1707","1720","","603","1416",".426","160","446",".359","341","521",".655","","1038","362","138","102","",""
"74","East Tennessee State","28","17","11",".607","-6.63","-6.39","9","7","","","","","2027","1937","","722","1548",".466","142","374",".380","441","675",".653","","1125","421","199","40","",""
"75","Eastern Illinois","29","13","16",".448","-6.87","-3.80","8","10","","","","","2073","2133","","746","1732",".431","221","579",".382","360","524",".687","","1077","444","222","80","",""
"76","Eastern Kentucky","26","3","23",".115","-19.21","-3.05","2","16","","","","","1702","2104","","618","1554",".398","159","476",".334","307","474",".648","","899","310","168","61","",""
"77","Eastern Michigan","25","5","20",".200","-5.72","4.24","5","13","","","","","1490","1739","","545","1389",".392","115","391",".294","285","471",".605","","984","269","203","97","",""
"78","Eastern Washington","27","10","17",".370","-5.28","-0.60","7","9","","","","","1991","2071","","714","1682",".424","241","649",".371","322","506",".636","","1082","401","225","81","",""
"79","Evansville","33","23","10",".697","5.89","3.73","13","5","","","","","2502","2369","","879","1739",".505","229","563",".407","515","667",".772","","1150","568","208","61","",""
"80","Fairfield","27","12","15",".444","-4.67","-1.74","7","11","","","","","2111","2190","","728","1714",".425","164","568",".289","491","824",".596","","1242","370","281","89","",""
"81","Fairleigh Dickinson","28","12","16",".429","-8.47","-6.69","9","11","","","","","1843","1870","","628","1455",".432","160","513",".312","427","674",".634","","1185","354","211","124","",""
"82","Florida A&M","31","12","19",".387","-14.63","-9.79","8","11","","","","","2252","2402","","769","1985",".387","149","530",".281","565","906",".624","","1499","316","305","92","",""
"83","Florida Atlantic","26","6","20",".231","-15.96","-4.92","3","13","","","","","1875","2143","","627","1539",".407","195","592",".329","426","623",".684","","925","330","272","44","",""
"84","Florida International","29","13","16",".448","0.85","0.92","7","7","","","","","2011","2013","","708","1557",".455","212","582",".364","383","569",".673","","1037","413","217","62","",""
"85","Florida State","30","13","17",".433","8.71","11.45","5","11","","","","","2118","2200","","765","1721",".445","178","525",".339","410","621",".660","","1095","447","264","86","",""
"86","Florida","31","22","9",".710","15.69","5.63","10","6","","","","","2488","2176","","832","1758",".473","289","762",".379","535","761",".703","","1222","495","311","119","",""
"87","Fordham","27","12","15",".444","-1.59","1.93","5","11","","","","","1784","1879","","604","1480",".408","160","484",".331","416","598",".696","","1006","334","218","56","",""
"88","Fresno State","33","21","12",".636","7.72","3.66","9","5","","","","","2635","2505","","980","2129",".460","252","750",".336","423","649",".652","","1289","600","324","159","",""
"89","Furman","28","12","16",".429","-9.67","-6.49","5","11","","","","","1878","1942","","626","1455",".430","143","449",".318","483","723",".668","","1123","361","179","68","",""
"90","George Mason","30","19","11",".633","4.52","-0.93","13","3","","","","","2214","2031","","826","1813",".456","195","544",".358","367","599",".613","","1177","398","304","136","",""
"91","George Washington","29","20","9",".690","10.99","5.47","13","3","","","","","2305","2145","","801","1941",".413","181","583",".310","522","722",".723","","1233","442","306","87","",""
"92","Georgetown","31","15","16",".484","8.21","6.41","6","12","","","","","2137","2057","","759","1956",".388","151","499",".303","468","723",".647","","1441","378","342","191","",""
"93","Georgia Southern","28","11","17",".393","-11.53","-6.66","6","10","","","","","1793","1862","","616","1521",".405","203","581",".349","358","523",".685","","1101","337","159","78","",""
