Team,PR,kag_id,kag_yr
LOUISVILLE,95.17,651,S
FLORIDA,88.36,592,S
VIRGINIA,88.06,830,S
ARIZONA,88.00,511,S
MICHIGAN ST.,87.40,671,S
VILLANOVA,87.28,829,S
MICHIGAN,86.20,670,S
DUKE,86.18,577,S
WISCONSIN,85.79,849,S
CREIGHTON,84.72,562,S
UCLA,84.53,810,S
WICHITA ST.,84.53,846,S
KANSAS,84.49,636,S
OHIO ST.,84.31,720,S
TENNESSEE,84.14,790,S
CONNECTICUT,83.33,559,S
VCU,83.23,825,S
PITTSBURGH,83.21,731,S
NORTH CAROLINA,82.81,708,S
IOWA ST.,82.62,629,S
SYRACUSE,82.40,786,S
IOWA,82.36,628,S
OKLAHOMA ST.,82.35,722,S
GONZAGA,81.95,607,S
CINCINNATI,81.87,549,S
KENTUCKY,81.81,640,S
BAYLOR,81.41,521,S
NEW MEXICO,81.21,701,S
OKLAHOMA,81.07,721,S
ST. JOHN,80.69,778,S
SAN DIEGO ST.,80.67,754,S
NEBRASKA,80.47,698,S
OREGON,80.39,725,S
PROVIDENCE,79.91,737,S
MARYLAND,79.86,662,S
ST. JOSEPH,78.99,779,S
XAVIER,78.86,853,S
ILLINOIS,78.85,623,S
HARVARD,78.78,612,S
MEMPHIS,78.74,666,S
STANFORD,78.64,783,S
SMU,78.54,767,S
INDIANA,78.45,625,S
MINNESOTA,78.17,673,S
LOUISIANA TECH,78.08,650,S
BYU,78.04,536,S
ST. LOUIS,78.00,780,S
GEORGETOWN,77.85,603,S
ARKANSAS,77.78,515,S
FLORIDA ST.,77.68,595,S
CLEMSON,77.66,551,S
NORTH CAROLINA ST.,77.49,695,S
KANSAS ST.,77.28,637,S
MARQUETTE,77.23,660,S
TEXAS,77.06,793,S
DAYTON,76.70,569,S
GEORGE WASHINGTON,76.58,599,S
PENN ST.,76.34,729,S
UTAH,76.27,821,S
ARIZONA ST.,76.26,512,S
NORTH DAKOTA ST.,76.20,689,S
GEORGIA,76.16,604,S
SETON HALL,76.10,764,S
MIAMI FLORIDA,76.05,668,S
MASSACHUSETTS,75.74,663,S
PURDUE,75.64,738,S
BUTLER,75.63,535,S
TULSA,75.38,802,S
GEORGIA ST.,75.32,605,S
LSU,75.08,655,S
VERMONT,74.94,828,S
NOTRE DAME,74.74,717,S
COLORADO,74.73,556,S
WEST VIRGINIA,74.54,843,S
SAN FRANCISCO,74.41,755,S
BOISE ST.,74.06,526,S
ALABAMA,74.00,504,S
SOUTHERN MISSISSIPPI,73.98,772,S
IONA,73.83,627,S
GEORGIA TECH,73.68,606,S
MANHATTAN,73.64,658,S
MISSOURI,73.61,676,S
CALIFORNIA,73.58,539,S
NEVADA LAS VEGAS,73.56,817,S
ST. MARY,73.54,781,S
WISCONSIN GREEN BAY,73.32,844,S
MISSISSIPPI,73.09,674,S
WASHINGTON,73.04,840,S
PRINCETON,72.90,736,S
MIDDLE TENNESSEE ST.,72.83,672,S
NORTHWESTERN,72.66,715,S
OREGON ST.,72.59,726,S
DAVIDSON,72.51,568,S
NORTH CAROLINA CENTRAL,72.23,694,S
MERCER,71.93,667,S
TEXAS TECH,71.93,796,S
TEXAS EL PASO,71.80,824,S
RICHMOND,71.73,743,S
RHODE ISLAND,71.71,741,S
ST. BONAVENTURE,71.52,775,S
BOSTON COLLEGE,71.40,527,S
NEW MEXICO ST.,71.36,702,S
BUFFALO,71.35,534,S
