Rank,Team,W-L,Pyth,AdjO,AdjD,AdjT,Luck,OppPyth,OppO,OppD,NCOppPyth,kag_id,kag_yr
1,Arizona,30-4,.9540,113.1,86.9,64.4,+.024,.6983,108.6,100.9,.5666,511,S
2,Louisville,29-5,.9515,117.4,90.6,68.9,-.044,.5710,105.9,103.3,.3976,651,S
3,Florida,32-2,.9476,115.8,90.0,63.2,+.059,.6764,107.6,100.9,.5720,592,S
4,Virginia,28-6,.9419,114.0,89.5,61.0,+.028,.6931,108.5,101.1,.5435,830,S
5,Wichita St.,34-0,.9399,117.7,92.7,65.0,+.009,.5254,105.1,104.2,.5697,846,S
6,Villanova,28-4,.9196,115.8,93.7,67.1,+.086,.6939,110.0,102.4,.5818,829,S
7,Duke,26-8,.9126,124.4,101.4,66.0,-.026,.7095,108.5,100.4,.5749,577,S
8,Creighton,26-7,.9121,125.7,102.5,65.1,-.009,.6827,107.4,100.5,.5247,562,S
9,Kansas,24-9,.9108,118.6,96.9,68.2,-.040,.7686,111.1,100.1,.7288,636,S
10,Michigan St.,26-8,.9038,117.3,96.5,65.6,-.009,.7044,108.5,100.6,.5119,671,S
11,Wisconsin,26-7,.9000,119.5,98.7,64.4,+.020,.7252,108.4,99.6,.6007,849,S
12,VCU,26-8,.8972,107.9,89.4,70.6,-.044,.6375,106.7,101.6,.5520,825,S
13,Tennessee,21-12,.8968,113.5,94.1,63.3,-.097,.6646,107.5,101.3,.5544,790,S
14,Michigan,25-8,.8935,122.3,101.6,62.8,+.055,.7220,108.5,99.8,.5143,670,S
15,Syracuse,27-5,.8926,113.2,94.2,61.3,+.035,.6626,108.6,102.4,.4636,786,S
16,UCLA,26-8,.8885,116.8,97.5,70.1,-.015,.6575,107.9,101.9,.4266,810,S
17,Kentucky,24-10,.8844,114.9,96.3,66.0,-.060,.6880,108.4,101.2,.5994,640,S
18,Pittsburgh,25-9,.8841,115.1,96.5,64.0,-.047,.6665,107.1,100.8,.4175,731,S
19,Ohio St.,25-9,.8828,107.1,89.9,65.4,-.028,.6744,108.2,101.6,.4249,720,S
20,Gonzaga,28-6,.8804,111.5,93.7,66.1,-.006,.5880,107.9,104.6,.5414,607,S
21,San Diego St.,29-4,.8787,108.0,90.9,64.1,+.078,.5874,106.6,103.3,.5622,754,S
22,Oklahoma St.,21-12,.8780,114.0,96.0,68.5,-.101,.6777,108.3,101.5,.4325,722,S
23,Iowa St.,26-7,.8758,115.9,97.8,71.7,+.072,.7214,110.2,101.4,.5276,629,S
24,Cincinnati,27-6,.8701,107.9,91.4,63.2,+.050,.5900,106.1,102.8,.4030,549,S
25,Connecticut,26-8,.8688,109.5,92.9,65.0,+.059,.6603,107.5,101.4,.5094,559,S
26,North Carolina,23-9,.8646,111.0,94.5,70.9,+.006,.6872,109.2,102.0,.5309,708,S
27,Iowa,20-12,.8608,120.1,102.5,70.9,-.114,.6499,106.7,101.1,.3698,628,S
28,New Mexico,27-6,.8570,112.7,96.5,66.1,+.044,.6001,106.7,103.0,.5798,701,S
29,Oklahoma,23-9,.8538,116.9,100.3,71.3,-.012,.6990,108.9,101.2,.5086,721,S
30,Oregon,23-9,.8524,117.1,100.6,68.8,-.032,.6602,107.6,101.6,.4671,725,S
31,Baylor,24-11,.8492,118.6,102.0,62.6,+.012,.7090,109.0,100.9,.4990,521,S
32,SMU,23-9,.8455,108.3,93.5,66.5,-.050,.5822,105.5,102.5,.3952,767,S
33,Harvard,26-4,.8390,111.2,96.3,65.1,+.024,.4649,103.3,104.5,.5324,612,S
34,Saint Louis,26-6,.8286,104.6,91.2,67.2,+.024,.6019,106.1,102.3,.4681,780,S
35,Louisiana Tech,27-7,.8204,108.7,95.2,70.6,+.000,.4425,102.6,104.7,.4232,650,S
36,Utah,21-11,.8182,110.1,96.6,64.9,-.049,.6112,106.4,102.3,.2523,821,S
37,Stanford,21-12,.8182,112.5,98.7,66.5,+.006,.6961,108.4,100.9,.5653,783,S
38,St. John's,20-12,.8162,107.6,94.5,68.1,-.040,.6515,108.4,102.7,.4241,778,S
39,Texas,23-10,.8137,109.5,96.3,68.2,+.086,.6835,109.2,102.1,.4451,793,S
40,Providence,23-11,.8115,114.3,100.6,64.9,+.068,.7028,108.6,100.8,.5120,737,S
41,Florida St.,19-13,.8097,111.6,98.4,66.6,-.017,.7212,108.8,100.2,.5486,595,S
42,Xavier,21-12,.8074,112.8,99.6,65.8,+.019,.6939,108.4,101.0,.5004,853,S
43,Maryland,17-15,.8045,107.9,95.4,69.2,-.074,.7022,108.2,100.5,.5454,662,S
44,Kansas St.,20-12,.8041,108.0,95.5,65.4,+.012,.6667,109.0,102.6,.4002,637,S
45,Memphis,23-9,.8020,110.4,97.8,69.4,+.039,.6413,106.9,101.7,.5125,666,S
46,George Washington,24-8,.8017,109.4,96.8,67.3,+.070,.6197,106.4,102.0,.4953,599,S
47,Arizona St.,21-11,.8009,108.3,96.0,69.3,+.019,.6637,107.6,101.4,.4378,512,S
48,Nebraska,19-12,.7977,108.2,96.0,66.2,+.052,.6866,106.8,99.8,.4667,698,S
49,Saint Joseph's,24-9,.7935,110.3,98.1,65.7,+.091,.6365,106.7,101.6,.5075,779,S
50,BYU,23-11,.7919,113.7,101.2,72.2,-.007,.6489,108.4,102.7,.6805,536,S
51,Clemson,20-12,.7864,105.7,94.3,59.8,-.006,.6226,107.5,102.9,.3228,551,S
52,Massachusetts,24-8,.7859,108.4,96.8,71.6,+.053,.6748,107.1,100.5,.6412,663,S
53,Dayton,23-10,.7834,113.4,101.4,65.2,+.019,.6011,106.2,102.4,.4699,569,S
54,Georgetown,17-14,.7724,111.4,100.2,64.4,-.020,.7074,109.3,101.2,.5808,603,S
55,North Dakota St.,25-6,.7713,114.7,103.2,64.2,+.071,.5156,105.9,105.3,.6482,689,S
56,Illinois,19-14,.7685,104.0,93.7,62.6,+.012,.6913,108.6,101.3,.4191,623,S
57,Minnesota,20-13,.7666,111.4,100.5,64.7,+.006,.6906,108.0,100.7,.4262,673,S
58,Arkansas,21-11,.7655,109.3,98.7,72.6,-.028,.5865,106.0,102.8,.3672,515,S
59,Stephen F. Austin,31-2,.7642,111.6,100.8,63.6,+.051,.3075,101.5,108.9,.4060,765,S
60,Georgia St.,25-8,.7636,113.9,102.8,65.4,-.023,.4363,103.2,105.5,.4999,605,S
61,Green Bay,24-6,.7607,108.1,97.8,66.7,+.036,.5158,104.3,103.7,.5888,844,S
62,Marquette,17-15,.7584,109.8,99.4,66.6,-.051,.6729,108.0,101.4,.4556,660,S
63,Southern Miss,27-6,.7536,110.8,100.5,64.6,+.110,.4909,103.2,103.5,.5140,772,S
