id,name,sportsref_name,conf_name,
501,Abilene Chr,Abilene Christian,Abilene Christian,
502,Air Force,Air Force,Air Force,
503,Akron,Akron,Akron,
504,Alabama,Alabama,Alabama,
505,Alabama A&M,Alabama A&M,Alabama A&M,
506,Alabama St,Alabama State,Alabama State,
507,Albany NY,Albany (NY),Albany,
508,Alcorn St,Alcorn State,Alcorn State,
509,American Univ,American,American University,
510,Appalachian St,Appalachian State,Appalachian State,
511,Arizona,Arizona,Arizona,
512,Arizona St,Arizona State,Arizona State,
513,Ark Little Rock,Arkansas-Little Rock,Arkansas-Little Rock,
514,Ark Pine Bluff,Arkansas-Pine Bluff,Arkansas-Pine Bluff,
515,Arkansas,Arkansas,Arkansas,
516,Arkansas St,Arkansas State,Arkansas State,
517,Army,Army,Army,
518,Auburn,Auburn,Auburn,
519,Austin Peay,Austin Peay,Austin Peay,
520,Ball St,Ball State,Ball State,
521,Baylor,Baylor,Baylor,
522,Belmont,Belmont,Belmont,
523,Bethune-Cookman,Bethune-Cookman,Bethune-Cookman,
524,Binghamton,Binghamton,Binghamton,
525,Birmingham So,Birmingham Southern,,
526,Boise St,Boise State,Boise State,
527,Boston College,Boston College,Boston College,
528,Boston Univ,Boston University,Boston University,
529,Bowling Green,Bowling Green State,Bowling Green,
530,Bradley,Bradley,Bradley,
531,Brown,Brown,Brown,
532,Bryant,Bryant,Bryant University,
533,Bucknell,Bucknell,Bucknell,
534,Buffalo,Buffalo,Buffalo,
535,Butler,Butler,Butler,
536,BYU,Brigham Young,Brigham Young,
537,C Michigan,Central Michigan,Central Michigan,
538,Cal Poly SLO,Cal Poly,,
539,California,California,California,
540,Campbell,Campbell,Campbell,
541,Canisius,Canisius,Canisius,
542,Cent Arkansas,Central Arkansas,Central Arkansas,
543,Centenary,,,
544,Central Conn,Central Connecticut State,Central Connecticut State,
545,Charleston So,Charleston Southern,Charleston Southern,
546,Charlotte,Charlotte,Charlotte,
547,Chattanooga,Chattanooga,Chattanooga,
548,Chicago St,Chicago State,Chicago State,
549,Cincinnati,Cincinnati,Cincinnati,
550,Citadel,Citadel,Citadel,
551,Clemson,Clemson,Clemson,
552,Cleveland St,Cleveland State,Cleveland State,
553,Coastal Car,Coastal Carolina,Coastal Carolina,
554,Col Charleston,College of Charleston,Charleston,
555,Colgate,Colgate,Colgate,
556,Colorado,Colorado,Colorado,
557,Colorado St,Colorado State,Colorado State,
558,Columbia,Columbia,Columbia,
559,Connecticut,Connecticut,Connecticut,
560,Coppin St,Coppin State,Coppin State,
561,Cornell,Cornell,Cornell,
562,Creighton,Creighton,Creighton,
563,CS Bakersfield,Cal State Bakersfield,Cal State Bakersfield,
564,CS Fullerton,Cal State Fullerton,Cal State Fullerton,
565,CS Northridge,Cal State Northridge,Cal State Northridge,
566,CS Sacramento,Sacramento State,Sacramento State,
567,Dartmouth,Dartmouth,Dartmouth,
568,Davidson,Davidson,Davidson,
569,Dayton,Dayton,Dayton,
570,Delaware,Delaware,Delaware,
571,Delaware St,Delaware State,Delaware State,
572,Denver,Denver,Denver,
573,DePaul,DePaul,DePaul,
574,Detroit,Detroit Mercy,Detroit,
575,Drake,Drake,Drake,
576,Drexel,Drexel,Drexel,
577,Duke,Duke,Duke,
578,Duquesne,Duquesne,Duquesne,
579,E Illinois,Eastern Illinois,Eastern Illinois,
580,E Kentucky,Eastern Kentucky,Eastern Kentucky,
581,E Michigan,Eastern Michigan,Eastern Michigan,
582,E Washington,Eastern Washington,Eastern Washington,
583,East Carolina,East Carolina,East Carolina,
584,Edwardsville,SIU Edwardsville,SIU-Edwardsville,
585,Elon,Elon,Elon,
586,ETSU,East Tennessee State,East Tennessee State,
587,Evansville,Evansville,Evansville,
588,F Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,
589,Fairfield,Fairfield,Fairfield,
590,FL Atlantic,Florida Atlantic,Florida Atlantic,
591,FL Gulf Coast,Florida Gulf Coast,Florida Gulf Coast,
592,Florida,Florida,Florida,
593,Florida A&M,Florida A&M,Florida A&M,
594,Florida Intl,Florida International,Florida International,
595,Florida St,Florida State,Florida State,
596,Fordham,Fordham,Fordham,
597,Fresno St,Fresno State,Fresno State,
598,Furman,Furman,Furman,
599,G Washington,George Washington,George Washington,
600,Ga Southern,Georgia Southern,Georgia Southern,
601,Gardner Webb,Gardner-Webb,Gardner-Webb,
602,George Mason,George Mason,George Mason,
603,Georgetown,Georgetown,Georgetown,
604,Georgia,Georgia,Georgia,
605,Georgia St,Georgia State,Georgia State,
606,Georgia Tech,Georgia Tech,Georgia Tech,
607,Gonzaga,Gonzaga,Gonzaga,
608,Grambling,Grambling,Grambling State,
609,Grand Canyon,Grand Canyon,Grand Canyon,
610,Hampton,Hampton,Hampton,
611,Hartford,Hartford,Hartford,
612,Harvard,Harvard,Harvard,
613,Hawaii,Hawaii,Hawaii,
614,High Point,High Point,High Point,
615,Hofstra,Hofstra,Hofstra,
616,Holy Cross,Holy Cross,Holy Cross,
617,Houston,Houston,Houston,
618,Houston Bap,Houston Baptist,Houston Baptist,
619,Howard,Howard,Howard,
620,Idaho,Idaho,Idaho,
